word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
ten_m3,9.0,4,73.0,22.0,5.0,4.0
patterning,,1,,,,
pathway,1.0,1,9.0,2.0,2.0,
vision,5.0,2,1.0,2.0,,
mapping,1.0,9,9.0,6.0,1.0,
