word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
stem,12.0,15.0,24.0,13.0,7.0,1.0
cell,8.0,6.0,16.0,9.0,2.0,1.0
transplantation,,1.0,,,,
cord,5.0,4.0,6.0,5.0,4.0,
injury,9.0,6.0,13.0,7.0,7.0,2.0
review,1.0,1.0,,2.0,2.0,1.0
meta-analysis,1.0,1.0,2.0,1.0,4.0,
studies,4.0,2.0,12.0,10.0,2.0,2.0
therapy,,,,,2.0,
