word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
development,1,2.0,1,1,,
domain,1,3.0,7,1,,3.0
mimetics,3,,34,12,2.0,4.0
activation,2,5.0,16,6,,1.0
