word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
homolog,2.0,,1.0,,,
tumor,4.0,4.0,16.0,13.0,1.0,
suppressor,3.0,1.0,2.0,6.0,,
geneatoh1,,,,,,
