word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
micro-,,,,,,
analysis,3.0,8.0,6.0,8.0,12.0,
drosophila,5.0,6.0,1.0,8.0,16.0,
brain,8.0,31.0,5.0,43.0,30.0,
section,,,13.0,13.0,4.0,
tem,6.0,7.0,12.0,32.0,5.0,
circuitry,,,,1.0,2.0,
