word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
dinucleotide,2,2,2,,1.0,4.0
nadh,2,2,9,5.0,,
oxidation,2,1,7,5.0,,
acid,1,2,17,1.0,,3.0
tca,1,3,27,9.0,,1.0
cycle,2,2,27,6.0,,
metabolism,7,1,22,8.0,,3.0
dna,6,4,42,6.0,6.0,41.0
methylation,5,2,36,8.0,6.0,16.0
