word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
homeostasis,1,,,7,,
adjustments,2,,1.0,4,,
arbor,6,9.0,85.0,25,,
geometry,1,1.0,4.0,4,1.0,
response,1,1.0,6.0,3,,
variations,1,1.0,7.0,7,,
input,2,13.0,12.0,20,,
dendrites,6,2.0,9.0,3,,
