word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
smek,5.0,12.0,49.0,21,1.0,4.0
promotes,2.0,3.0,4.0,3,,
stability,,,2.0,9,,1.0
mbd3/nurd,1.0,3.0,4.0,2,,
recruitment,2.0,,,2,,
genes,,,13.0,5,,7.0
regulates,,1.0,5.0,4,,
neurogenesis,2.0,6.0,12.0,5,,3.0
