word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
cyk4,9.0,8.0,11.0,11.0,,
microtubule,8.0,6.0,23.0,14.0,7.0,
bundling,6.0,4.0,9.0,6.0,1.0,
mklp1,8.0,11.0,10.0,12.0,,
neck,4.0,7.0,19.0,16.0,,2.0
conformation,,,,,,
