word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
perception,5,6,,3,,
vibrissa,7,15,46.0,24,18.0,4.0
sensorimotor,1,7,1.0,5,,
touch,7,5,,4,,
